release_year,track_name,playlist_subgenre,track_popularity
1989,Right Here Waiting,hard rock,75.0
1989,We Didn't Start the Fire,classic rock,73.0
1989,If I Could Turn Back Time,electropop,72.0
1989,I Won't Back Down,classic rock,71.0
1989,Poison,album rock,70.0
1989,18 and Life,hard rock,69.0
1990,Thunderstruck,classic rock,81.0
1990,Thunderstruck,hard rock,81.0
1990,Thunderstruck,post-teen pop,81.0
1990,Wind Of Change,permanent wave,77.0
1990,More Than Words,hard rock,75.0
1990,This Christmas,neo soul,75.0
1990,Abrázame Muy Fuerte,latin pop,72.0
1990,Man in the Box,permanent wave,71.0
1990,U Can't Touch This,new jack swing,71.0
1990,Can I Kick It?,gangster rap,69.0
1991,Losing My Religion,post-teen pop,81.0
1991,Smells Like Teen Spirit,hard rock,81.0
1991,Under the Bridge,classic rock,81.0
1991,Under the Bridge,permanent wave,81.0
1991,Enter Sandman,permanent wave,79.0
1991,Smells Like Teen Spirit,permanent wave,77.5
1991,Knockin' On Heaven's Door,permanent wave,77.0
1991,One,classic rock,77.0
1991,One,permanent wave,77.0
1991,Alive,classic rock,75.0
1992,Killing In The Name,permanent wave,78.0
1992,Friday I'm In Love,permanent wave,75.0
1992,It Was A Good Day,hip pop,74.0
1992,It Was A Good Day,southern hip hop,74.0
1992,Jump Around,southern hip hop,74.0
1992,Bed Of Roses,permanent wave,73.0
1992,Everybody Hurts,permanent wave,73.0
1992,I Have Nothing,neo soul,73.0
1992,No Rain,permanent wave,73.0
1992,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",permanent wave,73.0
1993,Creep,permanent wave,82.0
1993,Linger,album rock,75.0
1993,Linger,permanent wave,75.0
1993,Heart-Shaped Box,permanent wave,74.0
1993,Are You Gonna Go My Way,classic rock,72.0
1993,Are You Gonna Go My Way,hard rock,72.0
1993,Are You Gonna Go My Way,permanent wave,72.0
1993,Are You Gonna Go My Way,southern hip hop,72.0
1993,C.R.E.A.M.,gangster rap,72.0
1993,C.R.E.A.M.,new jack swing,72.0
1994,All I Want for Christmas Is You,neo soul,90.0
1994,Zombie,album rock,80.0
1994,Zombie,permanent wave,80.0
1994,Basket Case,hard rock,79.0
1994,Basket Case,permanent wave,79.0
1994,Basket Case,post-teen pop,79.0
1994,Juicy - 2005 Remaster,gangster rap,76.0
